Time,Force,D1,D2,D3,D4,D5,D6,D7
0.0444,-222.4237061,-0.035433073,-0.96062988,-1.086614252,-1.259842635,-1.173228503,-0.818897785,-0.527559102
0.0446,-222.4237061,-0.027559055,-0.948818922,-1.070866407,-1.248031677,-1.161417545,-0.811023653,-0.527559102
0.0448,-226.3955688,-0.019685039,-0.933070838,-1.055118143,-1.232283413,-1.149606287,-0.799212635,-0.527559102
0.045,-230.3674164,-0.011811025,-0.92125982,-1.03937006,-1.216535449,-1.13779521,-0.791338623,-0.527559102
0.0452,-230.3674164,-0.003937008,-0.905511856,-1.023622096,-1.204724431,-1.125984311,-0.779527665,-0.523622036
0.0454,-234.3392639,0.007873896,-0.893700958,-1.007874132,-1.188976527,-1.110236407,-0.767716647,-0.51968503
0.0456,-234.3392639,0.015747851,-0.88188994,-0.992126168,-1.173228563,-1.09842515,-0.755905749,-0.515748024
0.0458,-238.3111267,0.023622109,-0.870078683,-0.976377904,-1.157480299,-1.082677066,-0.744094491,-0.511811018
0.046,-238.3111267,0.035433073,-0.858267784,-0.956692934,-1.141732335,-1.066929102,-0.732283473,-0.507874012
0.0462,-238.3111267,0.047244038,-0.846456707,-0.94094491,-1.125984371,-1.051181138,-0.720472575,-0.50000006
0.0464,-238.3111267,0.059055,-0.830708803,-0.92125994,-1.110236407,-1.035433293,-0.708661437,-0.496062994
0.0466,-234.3394458,0.070865965,-0.814960839,-0.905511976,-1.094488443,-1.023622216,-0.692913593,-0.488189192
0.0468,-234.3392639,0.082677231,-0.799212575,-0.885826706,-1.074803173,-1.007873952,-0.677165329,-0.48031494
0.047,-234.3392639,0.098425195,-0.783464551,-0.870078743,-1.05905509,-0.992125988,-0.665354311,-0.472440958
0.0472,-230.3674164,0.114173174,-0.771653593,-0.850393773,-1.043307126,-0.976378084,-0.649606347,-0.464567006
0.0474,-230.3674164,0.133858158,-0.755905689,-0.834645809,-1.027559162,-0.96063,-0.633858383,-0.456692934
0.0476,-230.3674164,0.145669296,-0.744094491,-0.814960839,-1.007874192,-0.94094503,-0.61811042,-0.448818922
0.0478,-226.3955688,0.16141738,-0.728346407,-0.795275569,-0.992125928,-0.925196766,-0.602362156,-0.437007874
0.048,-226.3955688,0.177165359,-0.712598443,-0.775590599,-0.972440958,-0.909448862,-0.586614192,-0.429133892
0.0482,-222.4237665,0.192913323,-0.696850479,-0.759842635,-0.956692994,-0.889763892,-0.574803234,-0.417322904
0.0484,-222.4237061,0.208661302,-0.681102515,-0.740157665,-0.937008145,-0.874015869,-0.55905521,-0.409448832
0.0486,-222.4237061,0.22047226,-0.665354491,-0.720472695,-0.92126,-0.858267964,-0.543307246,-0.397637994
0.0488,-222.4237061,0.236220539,-0.649606227,-0.700787365,-0.90157473,-0.842519521,-0.527559042,-0.385826766
0.049,-222.4237061,0.251968503,-0.637795329,-0.685039341,-0.885826766,-0.822834611,-0.511811018,-0.377952784
0.0492,-222.4237061,0.263779491,-0.622047306,-0.665354371,-0.866141797,-0.807086647,-0.496063054,-0.366141797
0.0494,-222.4237061,0.275590419,-0.610236228,-0.645669522,-0.850393833,-0.791338743,-0.48031506,-0.354330839
0.0496,-222.4237061,0.283464401,-0.594488384,-0.629921437,-0.830708863,-0.771653713,-0.464567126,-0.346456707
0.0498,-222.4237061,0.295275599,-0.582677126,-0.610236168,-0.814960599,-0.755905509,-0.452755838,-0.334645599
0.05,-222.4237061,0.303149611,-0.566929162,-0.594488204,-0.799212635,-0.736220479,-0.437007874,-0.322834641
0.0502,-222.4237061,0.311023563,-0.551181138,-0.574803234,-0.783464611,-0.720472575,-0.42125988,-0.311023683
